('Epochs; batch_size; layer1; layer2; func1; func2; func_out', accuracy)
('10; 500; 128; 48; relu; sigmoid; sigmoid', 0.22031188)
('10; 750; 128; 48; sigmoid; relu; relu', 0.22031188)
('10; 750; 128; 48; softmax; sigmoid; sigmoid', 0.22031188)
('10; 750; 128; 48; softmax; softmax; softmax', 0.22031188)
('10; 1000; 128; 48; softmax; sigmoid; sigmoid', 0.22031188)
('10; 1000; 128; 48; softmax; softmax; sigmoid', 0.22031188)
('10; 1000; 128; 48; softmax; softmax; softmax', 0.22031188)
('10; 1000; 128; 48; softmax; relu; sigmoid', 0.22031188)
('10; 1000; 128; 48; relu; sigmoid; sigmoid', 0.22031188)
('10; 1000; 128; 48; relu; softmax; softmax', 0.22031188)
('20; 250; 128; 48; softmax; sigmoid; relu', 0.22031188)
('20; 250; 128; 48; relu; softmax; sigmoid', 0.22031188)
('20; 250; 128; 48; relu; softmax; softmax', 0.22031188)
('20; 500; 128; 48; softmax; softmax; sigmoid', 0.22031188)
('20; 500; 128; 48; relu; softmax; sigmoid', 0.22031188)
('20; 750; 128; 48; softmax; sigmoid; sigmoid', 0.22031188)
('20; 750; 128; 48; relu; softmax; softmax', 0.22031188)
('20; 1000; 128; 48; softmax; sigmoid; sigmoid', 0.22031188)
('20; 1000; 128; 48; softmax; softmax; sigmoid', 0.22031188)
('20; 1000; 128; 48; softmax; softmax; softmax', 0.22031188)
('20; 1000; 128; 48; softmax; relu; sigmoid', 0.22031188)
('20; 1000; 128; 48; relu; softmax; sigmoid', 0.22031188)
('30; 1000; 128; 48; relu; softmax; softmax', 0.22031188)
('10; 250; 128; 32; softmax; sigmoid; sigmoid', 0.22031188)
('10; 250; 128; 32; softmax; softmax; sigmoid', 0.22031188)
('10; 250; 128; 32; relu; softmax; softmax', 0.22031188)
('10; 750; 128; 32; softmax; sigmoid; sigmoid', 0.22031188)
('10; 750; 128; 32; relu; softmax; softmax', 0.22031188)
('10; 1000; 128; 32; softmax; softmax; sigmoid', 0.22031188)
('20; 500; 128; 32; softmax; softmax; sigmoid', 0.22031188)
('20; 500; 128; 32; relu; sigmoid; sigmoid', 0.22031188)
('20; 500; 128; 32; relu; softmax; softmax', 0.22031188)
('20; 750; 128; 32; sigmoid; relu; relu', 0.22031188)
('20; 750; 128; 32; softmax; sigmoid; sigmoid', 0.22031188)
('20; 750; 128; 32; relu; sigmoid; sigmoid', 0.22031188)
('20; 750; 128; 32; relu; softmax; sigmoid', 0.22031188)
('20; 750; 128; 32; relu; softmax; softmax', 0.22031188)
('20; 1000; 128; 32; softmax; sigmoid; relu', 0.22031188)
('20; 1000; 128; 32; softmax; softmax; softmax', 0.22031188)
('20; 1000; 128; 32; softmax; relu; softmax', 0.22031188)
('20; 1000; 128; 32; softmax; relu; relu', 0.22031188)
('30; 250; 128; 32; relu; relu; relu', 0.22031188)
('30; 500; 128; 32; softmax; sigmoid; relu', 0.22031188)
('30; 500; 128; 32; softmax; softmax; sigmoid', 0.22031188)
('30; 500; 128; 32; relu; softmax; sigmoid', 0.22031188)
('30; 750; 128; 32; softmax; sigmoid; sigmoid', 0.22031188)
('30; 750; 128; 32; softmax; softmax; sigmoid', 0.22031188)
('30; 750; 128; 32; relu; softmax; softmax', 0.22031188)
('30; 1000; 128; 32; softmax; relu; sigmoid', 0.22031188)
('30; 1000; 128; 32; relu; softmax; softmax', 0.22031188)
('10; 250; 128; 16; sigmoid; softmax; sigmoid', 0.22031188)
('10; 250; 128; 16; relu; softmax; sigmoid', 0.22031188)
('10; 500; 128; 16; sigmoid; sigmoid; sigmoid', 0.22031188)
('10; 500; 128; 16; sigmoid; relu; relu', 0.22031188)
('10; 500; 128; 16; softmax; sigmoid; sigmoid', 0.22031188)
('10; 500; 128; 16; softmax; softmax; softmax', 0.22031188)
('10; 500; 128; 16; relu; softmax; softmax', 0.22031188)
('10; 500; 128; 16; relu; relu; softmax', 0.22031188)
('10; 500; 128; 16; relu; relu; relu', 0.22031188)
('10; 750; 128; 16; softmax; sigmoid; softmax', 0.22031188)
('10; 750; 128; 16; relu; softmax; relu', 0.22031188)
('10; 1000; 128; 16; sigmoid; sigmoid; sigmoid', 0.22031188)
('10; 1000; 128; 16; sigmoid; relu; sigmoid', 0.22031188)
('10; 1000; 128; 16; softmax; sigmoid; relu', 0.22031188)
('10; 1000; 128; 16; softmax; relu; softmax', 0.22031188)
('10; 1000; 128; 16; relu; softmax; relu', 0.22031188)
('20; 250; 128; 16; softmax; softmax; sigmoid', 0.22031188)
('20; 250; 128; 16; relu; softmax; softmax', 0.22031188)
('20; 500; 128; 16; softmax; sigmoid; sigmoid', 0.22031188)
('20; 500; 128; 16; softmax; softmax; sigmoid', 0.22031188)
('20; 500; 128; 16; softmax; relu; sigmoid', 0.22031188)
('20; 500; 128; 16; relu; sigmoid; sigmoid', 0.22031188)
('20; 500; 128; 16; relu; relu; relu', 0.22031188)
('20; 750; 128; 16; softmax; softmax; softmax', 0.22031188)
('20; 1000; 128; 16; softmax; sigmoid; sigmoid', 0.22031188)
('20; 1000; 128; 16; softmax; relu; softmax', 0.22031188)
('20; 1000; 128; 16; relu; sigmoid; sigmoid', 0.22031188)
('30; 500; 128; 16; relu; softmax; softmax', 0.22031188)
('30; 750; 128; 16; softmax; sigmoid; sigmoid', 0.22031188)
('30; 1000; 128; 16; softmax; softmax; softmax', 0.22031188)
('30; 1000; 128; 16; relu; sigmoid; sigmoid', 0.22031188)
('30; 1000; 128; 16; relu; softmax; sigmoid', 0.22031188)
('30; 1000; 128; 16; relu; softmax; softmax', 0.22031188)
('10; 500; 112; 64; softmax; softmax; sigmoid', 0.22031188)
('10; 500; 112; 64; relu; softmax; sigmoid', 0.22031188)
('10; 500; 112; 64; relu; softmax; softmax', 0.22031188)
('10; 750; 112; 64; softmax; sigmoid; sigmoid', 0.22031188)
('10; 750; 112; 64; relu; softmax; sigmoid', 0.22031188)
('10; 1000; 112; 64; relu; sigmoid; sigmoid', 0.22031188)
('20; 250; 112; 64; relu; softmax; sigmoid', 0.22031188)
('20; 500; 112; 64; softmax; softmax; sigmoid', 0.22031188)
('20; 500; 112; 64; relu; softmax; sigmoid', 0.22031188)
('20; 750; 112; 64; softmax; softmax; softmax', 0.22031188)
('20; 750; 112; 64; relu; softmax; sigmoid', 0.22031188)
('20; 1000; 112; 64; softmax; softmax; sigmoid', 0.22031188)
('30; 250; 112; 64; relu; relu; relu', 0.22031188)
('30; 750; 112; 64; relu; softmax; softmax', 0.22031188)
('30; 1000; 112; 64; softmax; sigmoid; softmax', 0.22031188)
('10; 250; 112; 48; softmax; sigmoid; relu', 0.22031188)
('10; 250; 112; 48; softmax; softmax; sigmoid', 0.22031188)
('10; 250; 112; 48; relu; softmax; sigmoid', 0.22031188)
('10; 500; 112; 48; softmax; sigmoid; sigmoid', 0.22031188)
('10; 750; 112; 48; relu; sigmoid; relu', 0.22031188)
('10; 1000; 112; 48; sigmoid; relu; relu', 0.22031188)
('10; 1000; 112; 48; softmax; relu; sigmoid', 0.22031188)
('20; 250; 112; 48; relu; softmax; softmax', 0.22031188)
('20; 500; 112; 48; relu; softmax; softmax', 0.22031188)
('20; 750; 112; 48; softmax; relu; sigmoid', 0.22031188)
('20; 750; 112; 48; relu; softmax; softmax', 0.22031188)
('20; 1000; 112; 48; sigmoid; softmax; sigmoid', 0.22031188)
('20; 1000; 112; 48; softmax; sigmoid; softmax', 0.22031188)
('20; 1000; 112; 48; softmax; softmax; sigmoid', 0.22031188)
('20; 1000; 112; 48; relu; softmax; softmax', 0.22031188)
('30; 250; 112; 48; relu; sigmoid; relu', 0.22031188)
('30; 500; 112; 48; softmax; softmax; sigmoid', 0.22031188)
('30; 500; 112; 48; relu; softmax; sigmoid', 0.22031188)
('30; 500; 112; 48; relu; relu; relu', 0.22031188)
('30; 750; 112; 48; softmax; softmax; softmax', 0.22031188)
('30; 1000; 112; 48; softmax; softmax; sigmoid', 0.22031188)
('30; 1000; 112; 48; softmax; softmax; softmax', 0.22031188)
('30; 1000; 112; 48; relu; softmax; softmax', 0.22031188)
('30; 1000; 112; 48; relu; softmax; relu', 0.22031188)
('10; 250; 112; 32; sigmoid; softmax; sigmoid', 0.22031188)
('10; 500; 112; 32; sigmoid; sigmoid; relu', 0.22031188)
('10; 500; 112; 32; sigmoid; softmax; sigmoid', 0.22031188)
('10; 500; 112; 32; softmax; softmax; softmax', 0.22031188)
('10; 500; 112; 32; relu; sigmoid; sigmoid', 0.22031188)
('10; 500; 112; 32; relu; softmax; softmax', 0.22031188)
('10; 500; 112; 32; relu; relu; sigmoid', 0.22031188)
('10; 750; 112; 32; sigmoid; softmax; softmax', 0.22031188)
('10; 750; 112; 32; softmax; softmax; softmax', 0.22031188)
('10; 750; 112; 32; relu; sigmoid; sigmoid', 0.22031188)
('10; 1000; 112; 32; sigmoid; sigmoid; sigmoid', 0.22031188)
('10; 1000; 112; 32; softmax; sigmoid; sigmoid', 0.22031188)
('10; 1000; 112; 32; softmax; relu; softmax', 0.22031188)
('10; 1000; 112; 32; softmax; relu; relu', 0.22031188)
('10; 1000; 112; 32; relu; sigmoid; sigmoid', 0.22031188)
('20; 500; 112; 32; relu; softmax; softmax', 0.22031188)
('20; 500; 112; 32; relu; relu; relu', 0.22031188)
('20; 750; 112; 32; softmax; sigmoid; relu', 0.22031188)
('20; 750; 112; 32; softmax; softmax; sigmoid', 0.22031188)
('20; 750; 112; 32; relu; softmax; sigmoid', 0.22031188)
('20; 750; 112; 32; relu; softmax; softmax', 0.22031188)
('20; 1000; 112; 32; softmax; softmax; sigmoid', 0.22031188)
('20; 1000; 112; 32; softmax; relu; sigmoid', 0.22031188)
('30; 250; 112; 32; sigmoid; softmax; sigmoid', 0.22031188)
('30; 500; 112; 32; sigmoid; softmax; sigmoid', 0.22031188)
('30; 500; 112; 32; softmax; softmax; sigmoid', 0.22031188)
('30; 500; 112; 32; relu; sigmoid; relu', 0.22031188)
('30; 500; 112; 32; relu; softmax; sigmoid', 0.22031188)
('30; 1000; 112; 32; softmax; softmax; sigmoid', 0.22031188)
('30; 1000; 112; 32; softmax; relu; sigmoid', 0.22031188)
('30; 1000; 112; 32; relu; sigmoid; relu', 0.22031188)
('30; 1000; 112; 32; relu; relu; relu', 0.22031188)
('10; 250; 112; 16; softmax; softmax; softmax', 0.22031188)
('10; 250; 112; 16; relu; sigmoid; sigmoid', 0.22031188)
('10; 250; 112; 16; relu; sigmoid; relu', 0.22031188)
('10; 250; 112; 16; relu; softmax; sigmoid', 0.22031188)
('10; 500; 112; 16; softmax; sigmoid; sigmoid', 0.22031188)
('10; 500; 112; 16; softmax; softmax; softmax', 0.22031188)
('10; 500; 112; 16; relu; softmax; softmax', 0.22031188)
('10; 750; 112; 16; softmax; relu; sigmoid', 0.22031188)
('10; 750; 112; 16; relu; relu; softmax', 0.22031188)
('10; 1000; 112; 16; sigmoid; softmax; sigmoid', 0.22031188)
('10; 1000; 112; 16; sigmoid; softmax; softmax', 0.22031188)
('10; 1000; 112; 16; softmax; softmax; softmax', 0.22031188)
('10; 1000; 112; 16; relu; softmax; relu', 0.22031188)
('20; 250; 112; 16; softmax; softmax; sigmoid', 0.22031188)
('20; 250; 112; 16; relu; relu; sigmoid', 0.22031188)
('20; 500; 112; 16; softmax; sigmoid; sigmoid', 0.22031188)
('20; 500; 112; 16; softmax; softmax; sigmoid', 0.22031188)
('20; 500; 112; 16; softmax; softmax; softmax', 0.22031188)
('20; 500; 112; 16; softmax; relu; sigmoid', 0.22031188)
('20; 500; 112; 16; softmax; relu; softmax', 0.22031188)
('20; 500; 112; 16; relu; softmax; sigmoid', 0.22031188)
('20; 750; 112; 16; softmax; softmax; sigmoid', 0.22031188)
('20; 750; 112; 16; softmax; softmax; softmax', 0.22031188)
('20; 750; 112; 16; relu; sigmoid; sigmoid', 0.22031188)
('20; 750; 112; 16; relu; softmax; softmax', 0.22031188)
('20; 1000; 112; 16; sigmoid; sigmoid; sigmoid', 0.22031188)
('20; 1000; 112; 16; softmax; softmax; sigmoid', 0.22031188)
('20; 1000; 112; 16; relu; sigmoid; softmax', 0.22031188)
('20; 1000; 112; 16; relu; softmax; softmax', 0.22031188)
('30; 250; 112; 16; relu; relu; softmax', 0.22031188)
('30; 500; 112; 16; sigmoid; softmax; sigmoid', 0.22031188)
('30; 500; 112; 16; softmax; softmax; sigmoid', 0.22031188)
('30; 500; 112; 16; softmax; relu; sigmoid', 0.22031188)
('30; 500; 112; 16; relu; softmax; softmax', 0.22031188)
('30; 750; 112; 16; softmax; softmax; softmax', 0.22031188)
('30; 1000; 112; 16; softmax; sigmoid; softmax', 0.22031188)
('30; 1000; 112; 16; relu; sigmoid; sigmoid', 0.22031188)
('30; 1000; 112; 16; relu; relu; softmax', 0.22031188)
('10; 250; 96; 64; softmax; softmax; sigmoid', 0.22031188)
('10; 500; 96; 64; softmax; relu; sigmoid', 0.22031188)
('10; 500; 96; 64; relu; softmax; softmax', 0.22031188)
('10; 750; 96; 64; softmax; softmax; softmax', 0.22031188)
('10; 750; 96; 64; relu; softmax; relu', 0.22031188)
('10; 1000; 96; 64; softmax; softmax; softmax', 0.22031188)
('10; 1000; 96; 64; relu; sigmoid; relu', 0.22031188)
('10; 1000; 96; 64; relu; softmax; softmax', 0.22031188)
('20; 250; 96; 64; sigmoid; sigmoid; relu', 0.22031188)
('20; 250; 96; 64; relu; softmax; softmax', 0.22031188)
('20; 250; 96; 64; relu; relu; relu', 0.22031188)
('20; 500; 96; 64; relu; softmax; softmax', 0.22031188)
('20; 750; 96; 64; relu; relu; relu', 0.22031188)
('20; 1000; 96; 64; sigmoid; softmax; sigmoid', 0.22031188)
('20; 1000; 96; 64; softmax; softmax; softmax', 0.22031188)
('20; 1000; 96; 64; softmax; relu; relu', 0.22031188)
('20; 1000; 96; 64; relu; softmax; sigmoid', 0.22031188)
('20; 1000; 96; 64; relu; softmax; softmax', 0.22031188)
('30; 250; 96; 64; sigmoid; softmax; sigmoid', 0.22031188)
('30; 500; 96; 64; relu; softmax; sigmoid', 0.22031188)
('30; 500; 96; 64; relu; softmax; softmax', 0.22031188)
('30; 1000; 96; 64; softmax; softmax; softmax', 0.22031188)
('30; 1000; 96; 64; softmax; relu; sigmoid', 0.22031188)
('30; 1000; 96; 64; relu; softmax; softmax', 0.22031188)
('10; 250; 96; 48; softmax; sigmoid; relu', 0.22031188)
('10; 500; 96; 48; relu; softmax; sigmoid', 0.22031188)
('10; 500; 96; 48; relu; softmax; softmax', 0.22031188)
('10; 750; 96; 48; softmax; softmax; sigmoid', 0.22031188)
('10; 750; 96; 48; relu; softmax; relu', 0.22031188)
('10; 1000; 96; 48; sigmoid; softmax; sigmoid', 0.22031188)
('10; 1000; 96; 48; softmax; sigmoid; sigmoid', 0.22031188)
('10; 1000; 96; 48; softmax; sigmoid; softmax', 0.22031188)
('10; 1000; 96; 48; softmax; softmax; softmax', 0.22031188)
('10; 1000; 96; 48; relu; softmax; relu', 0.22031188)
('20; 250; 96; 48; softmax; softmax; sigmoid', 0.22031188)
('20; 250; 96; 48; relu; softmax; sigmoid', 0.22031188)
('20; 250; 96; 48; relu; relu; relu', 0.22031188)
('20; 500; 96; 48; softmax; softmax; softmax', 0.22031188)
('20; 500; 96; 48; softmax; relu; sigmoid', 0.22031188)
('20; 500; 96; 48; relu; softmax; softmax', 0.22031188)
('20; 750; 96; 48; relu; softmax; softmax', 0.22031188)
('20; 1000; 96; 48; softmax; sigmoid; sigmoid', 0.22031188)
('20; 1000; 96; 48; softmax; relu; sigmoid', 0.22031188)
('30; 500; 96; 48; softmax; relu; softmax', 0.22031188)
('30; 500; 96; 48; relu; softmax; sigmoid', 0.22031188)
('30; 750; 96; 48; softmax; softmax; softmax', 0.22031188)
('30; 750; 96; 48; relu; softmax; softmax', 0.22031188)
('30; 1000; 96; 48; sigmoid; relu; relu', 0.22031188)
('30; 1000; 96; 48; softmax; sigmoid; softmax', 0.22031188)
('30; 1000; 96; 48; softmax; softmax; softmax', 0.22031188)
('30; 1000; 96; 48; relu; softmax; sigmoid', 0.22031188)
('10; 250; 96; 32; sigmoid; softmax; sigmoid', 0.22031188)
('10; 250; 96; 32; softmax; softmax; sigmoid', 0.22031188)
('10; 250; 96; 32; softmax; relu; sigmoid', 0.22031188)
('10; 250; 96; 32; relu; softmax; softmax', 0.22031188)
('10; 500; 96; 32; softmax; sigmoid; sigmoid', 0.22031188)
('10; 500; 96; 32; softmax; softmax; softmax', 0.22031188)
('10; 750; 96; 32; sigmoid; relu; sigmoid', 0.22031188)
('10; 750; 96; 32; relu; sigmoid; sigmoid', 0.22031188)
('10; 1000; 96; 32; sigmoid; relu; sigmoid', 0.22031188)
('10; 1000; 96; 32; relu; sigmoid; sigmoid', 0.22031188)
('20; 250; 96; 32; softmax; softmax; sigmoid', 0.22031188)
('20; 250; 96; 32; relu; softmax; sigmoid', 0.22031188)
('20; 500; 96; 32; softmax; sigmoid; sigmoid', 0.22031188)
('20; 500; 96; 32; softmax; softmax; sigmoid', 0.22031188)
('20; 500; 96; 32; relu; softmax; sigmoid', 0.22031188)
('20; 500; 96; 32; relu; softmax; softmax', 0.22031188)
('20; 750; 96; 32; sigmoid; relu; relu', 0.22031188)
('20; 750; 96; 32; relu; softmax; sigmoid', 0.22031188)
('20; 750; 96; 32; relu; softmax; softmax', 0.22031188)
('20; 750; 96; 32; relu; relu; relu', 0.22031188)
('20; 1000; 96; 32; sigmoid; sigmoid; relu', 0.22031188)
('30; 250; 96; 32; relu; softmax; sigmoid', 0.22031188)
('30; 500; 96; 32; sigmoid; softmax; sigmoid', 0.22031188)
('30; 750; 96; 32; relu; softmax; softmax', 0.22031188)
('30; 1000; 96; 32; softmax; softmax; softmax', 0.22031188)
('10; 250; 96; 16; relu; softmax; sigmoid', 0.22031188)
('10; 250; 96; 16; relu; softmax; softmax', 0.22031188)
('10; 500; 96; 16; softmax; softmax; sigmoid', 0.22031188)
('10; 500; 96; 16; relu; sigmoid; sigmoid', 0.22031188)
('10; 500; 96; 16; relu; softmax; sigmoid', 0.22031188)
('10; 750; 96; 16; sigmoid; softmax; softmax', 0.22031188)
('10; 750; 96; 16; sigmoid; relu; sigmoid', 0.22031188)
('10; 750; 96; 16; softmax; sigmoid; sigmoid', 0.22031188)
('10; 750; 96; 16; softmax; softmax; sigmoid', 0.22031188)
('10; 750; 96; 16; relu; sigmoid; sigmoid', 0.22031188)
('10; 750; 96; 16; relu; softmax; relu', 0.22031188)
('10; 1000; 96; 16; softmax; softmax; sigmoid', 0.22031188)
('10; 1000; 96; 16; softmax; relu; sigmoid', 0.22031188)
('10; 1000; 96; 16; relu; softmax; softmax', 0.22031188)
('10; 1000; 96; 16; relu; relu; softmax', 0.22031188)
('20; 500; 96; 16; softmax; sigmoid; sigmoid', 0.22031188)
('20; 500; 96; 16; relu; softmax; sigmoid', 0.22031188)
('20; 750; 96; 16; softmax; sigmoid; sigmoid', 0.22031188)
('20; 750; 96; 16; softmax; sigmoid; softmax', 0.22031188)
('20; 750; 96; 16; softmax; softmax; softmax', 0.22031188)
('20; 750; 96; 16; softmax; relu; sigmoid', 0.22031188)
('20; 750; 96; 16; softmax; relu; softmax', 0.22031188)
('20; 750; 96; 16; relu; sigmoid; sigmoid', 0.22031188)
('20; 750; 96; 16; relu; softmax; sigmoid', 0.22031188)
('20; 1000; 96; 16; softmax; softmax; sigmoid', 0.22031188)
('20; 1000; 96; 16; relu; softmax; softmax', 0.22031188)
('30; 250; 96; 16; relu; softmax; sigmoid', 0.22031188)
('30; 500; 96; 16; softmax; sigmoid; sigmoid', 0.22031188)
('30; 500; 96; 16; softmax; softmax; softmax', 0.22031188)
('30; 500; 96; 16; relu; softmax; sigmoid', 0.22031188)
('30; 1000; 96; 16; softmax; sigmoid; sigmoid', 0.22031188)
('30; 1000; 96; 16; relu; softmax; softmax', 0.22031188)
('10; 250; 80; 64; softmax; softmax; sigmoid', 0.22031188)
('10; 250; 80; 64; softmax; softmax; softmax', 0.22031188)
('10; 500; 80; 64; relu; softmax; sigmoid', 0.22031188)
('10; 750; 80; 64; sigmoid; softmax; sigmoid', 0.22031188)
('10; 750; 80; 64; sigmoid; relu; relu', 0.22031188)
('10; 750; 80; 64; softmax; sigmoid; sigmoid', 0.22031188)
('10; 1000; 80; 64; softmax; softmax; sigmoid', 0.22031188)
('10; 1000; 80; 64; softmax; relu; sigmoid', 0.22031188)
('10; 1000; 80; 64; relu; sigmoid; relu', 0.22031188)
('20; 250; 80; 64; relu; relu; sigmoid', 0.22031188)
('20; 250; 80; 64; relu; relu; relu', 0.22031188)
('20; 500; 80; 64; softmax; sigmoid; relu', 0.22031188)
('20; 500; 80; 64; relu; softmax; softmax', 0.22031188)
('20; 750; 80; 64; relu; sigmoid; relu', 0.22031188)
('20; 750; 80; 64; relu; softmax; sigmoid', 0.22031188)
('20; 1000; 80; 64; softmax; relu; sigmoid', 0.22031188)
('20; 1000; 80; 64; relu; softmax; softmax', 0.22031188)
('30; 250; 80; 64; relu; softmax; sigmoid', 0.22031188)
('30; 250; 80; 64; relu; relu; sigmoid', 0.22031188)
('30; 500; 80; 64; softmax; sigmoid; relu', 0.22031188)
('30; 750; 80; 64; softmax; relu; sigmoid', 0.22031188)
('30; 750; 80; 64; relu; relu; relu', 0.22031188)
('30; 1000; 80; 64; softmax; softmax; softmax', 0.22031188)
('30; 1000; 80; 64; relu; softmax; sigmoid', 0.22031188)
('30; 1000; 80; 64; relu; softmax; relu', 0.22031188)
('10; 500; 80; 48; softmax; softmax; softmax', 0.22031188)
('10; 500; 80; 48; relu; softmax; softmax', 0.22031188)
('10; 750; 80; 48; relu; softmax; sigmoid', 0.22031188)
('10; 750; 80; 48; relu; relu; relu', 0.22031188)
('10; 1000; 80; 48; relu; softmax; relu', 0.22031188)
('10; 1000; 80; 48; relu; relu; relu', 0.22031188)
('20; 250; 80; 48; relu; softmax; sigmoid', 0.22031188)
('20; 500; 80; 48; softmax; softmax; sigmoid', 0.22031188)
('20; 500; 80; 48; softmax; softmax; softmax', 0.22031188)
('20; 500; 80; 48; relu; softmax; softmax', 0.22031188)
('20; 750; 80; 48; sigmoid; softmax; softmax', 0.22031188)
('20; 750; 80; 48; softmax; relu; sigmoid', 0.22031188)
('20; 1000; 80; 48; softmax; softmax; sigmoid', 0.22031188)
('30; 250; 80; 48; relu; softmax; sigmoid', 0.22031188)
('30; 500; 80; 48; softmax; softmax; sigmoid', 0.22031188)
('30; 500; 80; 48; relu; softmax; sigmoid', 0.22031188)
('30; 1000; 80; 48; relu; softmax; softmax', 0.22031188)
('10; 250; 80; 32; relu; softmax; softmax', 0.22031188)
('10; 250; 80; 32; relu; relu; relu', 0.22031188)
('10; 500; 80; 32; sigmoid; softmax; relu', 0.22031188)
('10; 500; 80; 32; softmax; softmax; softmax', 0.22031188)
('10; 500; 80; 32; relu; sigmoid; sigmoid', 0.22031188)
('10; 750; 80; 32; softmax; softmax; sigmoid', 0.22031188)
('10; 750; 80; 32; softmax; softmax; softmax', 0.22031188)
('10; 750; 80; 32; softmax; relu; sigmoid', 0.22031188)
('10; 750; 80; 32; softmax; relu; softmax', 0.22031188)
('20; 500; 80; 32; relu; softmax; sigmoid', 0.22031188)
('20; 1000; 80; 32; sigmoid; softmax; sigmoid', 0.22031188)
('20; 1000; 80; 32; sigmoid; softmax; softmax', 0.22031188)
('20; 1000; 80; 32; relu; sigmoid; sigmoid', 0.22031188)
('20; 1000; 80; 32; relu; softmax; softmax', 0.22031188)
('30; 250; 80; 32; sigmoid; softmax; sigmoid', 0.22031188)
('30; 250; 80; 32; softmax; softmax; sigmoid', 0.22031188)
('30; 500; 80; 32; relu; softmax; sigmoid', 0.22031188)
('30; 750; 80; 32; softmax; softmax; softmax', 0.22031188)
('30; 750; 80; 32; relu; softmax; sigmoid', 0.22031188)
('30; 750; 80; 32; relu; softmax; softmax', 0.22031188)
('30; 1000; 80; 32; softmax; relu; sigmoid', 0.22031188)
('10; 250; 80; 16; sigmoid; softmax; sigmoid', 0.22031188)
('10; 250; 80; 16; sigmoid; softmax; softmax', 0.22031188)
('10; 250; 80; 16; softmax; softmax; sigmoid', 0.22031188)
('10; 250; 80; 16; relu; sigmoid; softmax', 0.22031188)
('10; 250; 80; 16; relu; softmax; sigmoid', 0.22031188)
('10; 250; 80; 16; relu; relu; softmax', 0.22031188)
('10; 500; 80; 16; softmax; sigmoid; sigmoid', 0.22031188)
('10; 500; 80; 16; relu; softmax; sigmoid', 0.22031188)
('10; 750; 80; 16; sigmoid; sigmoid; sigmoid', 0.22031188)
('10; 1000; 80; 16; sigmoid; sigmoid; sigmoid', 0.22031188)
('10; 1000; 80; 16; sigmoid; relu; sigmoid', 0.22031188)
('10; 1000; 80; 16; softmax; softmax; softmax', 0.22031188)
('10; 1000; 80; 16; relu; softmax; softmax', 0.22031188)
('20; 250; 80; 16; relu; sigmoid; sigmoid', 0.22031188)
('20; 500; 80; 16; sigmoid; softmax; sigmoid', 0.22031188)
('20; 500; 80; 16; softmax; softmax; sigmoid', 0.22031188)
('20; 500; 80; 16; relu; sigmoid; sigmoid', 0.22031188)
('20; 500; 80; 16; relu; softmax; softmax', 0.22031188)
('20; 750; 80; 16; softmax; relu; softmax', 0.22031188)
('20; 750; 80; 16; relu; softmax; sigmoid', 0.22031188)
('20; 750; 80; 16; relu; softmax; relu', 0.22031188)
('20; 1000; 80; 16; sigmoid; softmax; softmax', 0.22031188)
('20; 1000; 80; 16; softmax; softmax; softmax', 0.22031188)
('20; 1000; 80; 16; softmax; relu; softmax', 0.22031188)
('20; 1000; 80; 16; relu; sigmoid; softmax', 0.22031188)
('20; 1000; 80; 16; relu; softmax; sigmoid', 0.22031188)
('30; 250; 80; 16; relu; softmax; sigmoid', 0.22031188)
('30; 250; 80; 16; relu; relu; softmax', 0.22031188)
('30; 500; 80; 16; relu; sigmoid; sigmoid', 0.22031188)
('30; 500; 80; 16; relu; softmax; softmax', 0.22031188)
('30; 750; 80; 16; softmax; sigmoid; sigmoid', 0.22031188)
('30; 750; 80; 16; softmax; softmax; softmax', 0.22031188)
('30; 750; 80; 16; relu; sigmoid; sigmoid', 0.22031188)
('30; 750; 80; 16; relu; softmax; sigmoid', 0.22031188)
('30; 750; 80; 16; relu; softmax; softmax', 0.22031188)
('30; 1000; 80; 16; softmax; softmax; sigmoid', 0.22031188)
('30; 1000; 80; 16; softmax; relu; softmax', 0.22031188)
('30; 1000; 80; 16; relu; sigmoid; sigmoid', 0.22031188)
('10; 250; 64; 64; relu; sigmoid; relu', 0.22031188)
('10; 500; 64; 64; sigmoid; softmax; softmax', 0.22031188)
('10; 500; 64; 64; relu; softmax; softmax', 0.22031188)
('10; 500; 64; 64; relu; relu; sigmoid', 0.22031188)
('10; 750; 64; 64; sigmoid; softmax; sigmoid', 0.22031188)
('10; 1000; 64; 64; softmax; sigmoid; sigmoid', 0.22031188)
('10; 1000; 64; 64; softmax; relu; softmax', 0.22031188)
('20; 250; 64; 64; relu; relu; relu', 0.22031188)
('20; 500; 64; 64; sigmoid; sigmoid; relu', 0.22031188)
('20; 500; 64; 64; softmax; softmax; softmax', 0.22031188)
('20; 500; 64; 64; relu; softmax; softmax', 0.22031188)
('20; 1000; 64; 64; softmax; sigmoid; sigmoid', 0.22031188)
('30; 500; 64; 64; relu; softmax; sigmoid', 0.22031188)
('30; 750; 64; 64; softmax; softmax; relu', 0.22031188)
('30; 750; 64; 64; relu; softmax; sigmoid', 0.22031188)
('30; 1000; 64; 64; softmax; softmax; sigmoid', 0.22031188)
('10; 250; 64; 48; relu; softmax; softmax', 0.22031188)
('10; 500; 64; 48; sigmoid; sigmoid; relu', 0.22031188)
