('Epochs; batch_size; layer1; layer2; func1; func2; func_out', accuracy)
('30; 750; 128; 16; sigmoid; relu; softmax', 0.7085166)
('10; 250; 64; 48; relu; relu; softmax', 0.7085166)
('20; 750; 112; 32; sigmoid; sigmoid; softmax', 0.70841664)
('20; 1000; 112; 16; sigmoid; relu; sigmoid', 0.70841664)
('20; 1000; 112; 32; sigmoid; relu; softmax', 0.7083167)
('20; 500; 112; 64; sigmoid; relu; softmax', 0.7080168)
('10; 750; 96; 48; sigmoid; relu; softmax', 0.7080168)
('20; 750; 80; 64; sigmoid; relu; sigmoid', 0.7080168)
('20; 750; 64; 32; relu; relu; softmax', 0.7078169)
('10; 1000; 96; 64; relu; relu; softmax', 0.707417)
('20; 750; 128; 16; sigmoid; relu; softmax', 0.70731705)
('10; 500; 112; 48; sigmoid; relu; softmax', 0.70731705)
('20; 1000; 96; 64; relu; sigmoid; sigmoid', 0.70731705)
('20; 750; 96; 32; sigmoid; relu; softmax', 0.7070172)
('10; 250; 64; 64; relu; relu; softmax', 0.7067173)
('20; 1000; 128; 64; sigmoid; sigmoid; softmax', 0.70661736)
('30; 750; 112; 64; relu; relu; softmax', 0.70641744)
('10; 500; 128; 16; sigmoid; relu; softmax', 0.7061176)
('30; 750; 80; 64; sigmoid; sigmoid; softmax', 0.7061176)
('20; 1000; 64; 64; relu; relu; softmax', 0.7060176)
('30; 1000; 80; 32; sigmoid; sigmoid; softmax', 0.70551777)
('30; 250; 80; 64; relu; sigmoid; sigmoid', 0.70531785)
('10; 750; 112; 64; relu; relu; softmax', 0.7042183)
('30; 1000; 80; 64; relu; relu; softmax', 0.7040184)
('10; 750; 112; 48; relu; relu; softmax', 0.7037185)
('30; 500; 128; 48; sigmoid; sigmoid; softmax', 0.7030188)
('30; 750; 64; 16; sigmoid; sigmoid; softmax', 0.7030188)
('20; 750; 96; 48; relu; relu; softmax', 0.7028189)
('30; 250; 80; 32; relu; relu; softmax', 0.7028189)
('20; 1000; 128; 64; sigmoid; relu; sigmoid', 0.702519)
('30; 750; 96; 64; sigmoid; relu; sigmoid', 0.70241904)
('30; 1000; 128; 64; sigmoid; relu; sigmoid', 0.7022191)
('30; 750; 96; 32; sigmoid; relu; sigmoid', 0.7022191)
('30; 750; 80; 32; sigmoid; relu; softmax', 0.7022191)
('20; 250; 128; 32; relu; relu; softmax', 0.7021192)
('20; 500; 80; 32; sigmoid; relu; softmax', 0.70191926)
('30; 500; 96; 16; sigmoid; relu; softmax', 0.7012195)
('30; 500; 96; 48; sigmoid; relu; softmax', 0.70111954)
